,Datetime,Hourly_Temp
0,2022-01-04 00:00:00,20.867
1,2022-01-04 01:00:00,21.0
2,2022-01-04 02:00:00,20.867
3,2022-01-04 03:00:00,20.65
4,2022-01-04 04:00:00,20.4
5,2022-01-04 05:00:00,20.1
6,2022-01-04 06:00:00,19.8
7,2022-01-04 07:00:00,19.5
8,2022-01-04 08:00:00,19.4
9,2022-01-04 09:00:00,19.5
10,2022-01-04 10:00:00,19.933
11,2022-01-04 11:00:00,20.75
12,2022-01-04 12:00:00,21.833
13,2022-01-04 13:00:00,22.75
14,2022-01-04 14:00:00,23.7
15,2022-01-04 15:00:00,24.6
16,2022-01-04 16:00:00,25.1
17,2022-01-04 17:00:00,12.1
18,2022-01-04 18:00:00,19.667
19,2022-01-04 19:00:00,23.133
20,2022-01-04 20:00:00,23.1
21,2022-01-04 21:00:00,22.7
22,2022-01-04 22:00:00,22.3
23,2022-01-04 23:00:00,21.8
24,2022-01-05 00:00:00,21.333
25,2022-01-05 01:00:00,20.933
26,2022-01-05 02:00:00,20.567
27,2022-01-05 03:00:00,20.25
28,2022-01-05 04:00:00,20.1
29,2022-01-05 05:00:00,15.667
30,2022-01-05 06:00:00,19.167
31,2022-01-05 07:00:00,14.1
32,2022-01-05 08:00:00,14.05
33,2022-01-05 09:00:00,13.467
34,2022-01-05 10:00:00,11.4
35,2022-01-05 11:00:00,9.9
36,2022-01-05 12:00:00,9.833
37,2022-01-05 13:00:00,10.0
38,2022-01-05 14:00:00,13.033
39,2022-01-05 15:00:00,9.333
40,2022-01-05 16:00:00,12.7
41,2022-01-05 17:00:00,12.733
42,2022-01-05 18:00:00,15.733
43,2022-01-05 19:00:00,16.033
44,2022-01-05 20:00:00,16.033
45,2022-01-05 21:00:00,16.1
46,2022-01-05 22:00:00,12.95
47,2022-01-05 23:00:00,23.6
48,2022-01-06 00:00:00,26.5
49,2022-01-06 01:00:00,25.5
50,2022-01-06 02:00:00,24.5
51,2022-01-06 03:00:00,23.633
52,2022-01-06 04:00:00,23.1
53,2022-01-06 05:00:00,22.6
54,2022-01-06 06:00:00,14.9
55,2022-01-06 07:00:00,14.133
56,2022-01-06 08:00:00,22.7
57,2022-01-06 09:00:00,23.533
58,2022-01-06 10:00:00,23.75
59,2022-01-06 11:00:00,24.2
60,2022-01-06 12:00:00,24.867
61,2022-01-06 13:00:00,25.5
62,2022-01-06 14:00:00,26.0
63,2022-01-06 15:00:00,26.267
64,2022-01-06 16:00:00,9.633
65,2022-01-06 17:00:00,9.267
66,2022-01-06 18:00:00,8.85
67,2022-01-06 19:00:00,15.6
